word,verse_num,cantica,canto,rhyme?,start_quote,end_quote,stop_word,rhyme_scheme
nel,1,Inferno,1,0,0,0,0,
mezzo,1,Inferno,1,0,0,0,1,
del,1,Inferno,1,0,0,0,1,
cammin,1,Inferno,1,0,0,0,0,
di,1,Inferno,1,0,0,0,1,
nostra,1,Inferno,1,0,0,0,1,
vita,1,Inferno,1,1,0,0,1,ita
mi,2,Inferno,1,0,0,0,1,
ritrovai,2,Inferno,1,0,0,0,0,
per,2,Inferno,1,0,0,0,1,
una,2,Inferno,1,0,0,0,1,
selva,2,Inferno,1,0,0,0,0,
oscura,2,Inferno,1,1,0,0,0,ura
ché,3,Inferno,1,0,0,0,1,
la,3,Inferno,1,0,0,0,1,
diritta,3,Inferno,1,0,0,0,0,
via,3,Inferno,1,0,0,0,0,
era,3,Inferno,1,0,0,0,1,
smarrita,3,Inferno,1,1,0,0,0,ita
ahi,4,Inferno,1,0,0,0,0,
quanto,4,Inferno,1,0,0,0,1,
a,4,Inferno,1,0,0,0,1,
dir,4,Inferno,1,0,0,0,0,
qual,4,Inferno,1,0,0,0,1,
era,4,Inferno,1,0,0,0,1,
è,4,Inferno,1,0,0,0,1,
cosa,4,Inferno,1,0,0,0,1,
dura,4,Inferno,1,1,0,0,0,ura
esta,5,Inferno,1,0,0,0,0,
selva,5,Inferno,1,0,0,0,0,
selvaggia,5,Inferno,1,0,0,0,0,
e,5,Inferno,1,0,0,0,1,
aspra,5,Inferno,1,0,0,0,0,
e,5,Inferno,1,0,0,0,1,
forte,5,Inferno,1,1,0,0,0,orte
che,6,Inferno,1,0,0,0,1,
nel,6,Inferno,1,0,0,0,1,
pensier,6,Inferno,1,0,0,0,0,
rinova,6,Inferno,1,0,0,0,0,
la,6,Inferno,1,0,0,0,1,
paura,6,Inferno,1,1,0,0,0,ura
tant',7,Inferno,1,0,0,0,0,
è,7,Inferno,1,0,0,0,1,
amara,7,Inferno,1,0,0,0,0,
che,7,Inferno,1,0,0,0,1,
poco,7,Inferno,1,0,0,0,1,
è,7,Inferno,1,0,0,0,1,
più,7,Inferno,1,0,0,0,1,
morte,7,Inferno,1,1,0,0,0,orte
ma,8,Inferno,1,0,0,0,1,
per,8,Inferno,1,0,0,0,1,
trattar,8,Inferno,1,0,0,0,0,
del,8,Inferno,1,0,0,0,1,
ben,8,Inferno,1,0,0,0,1,
ch'i',8,Inferno,1,0,0,0,1,
vi,8,Inferno,1,0,0,0,1,
trovai,8,Inferno,1,1,0,0,0,ai
dirò,9,Inferno,1,0,0,0,0,
de,9,Inferno,1,0,0,0,1,
l'altre,9,Inferno,1,0,0,0,0,
cose,9,Inferno,1,0,0,0,0,
ch'i',9,Inferno,1,0,0,0,1,
v'ho,9,Inferno,1,0,0,0,0,
scorte,9,Inferno,1,1,0,0,0,orte
io,10,Inferno,1,0,0,0,0,
non,10,Inferno,1,0,0,0,1,
so,10,Inferno,1,0,0,0,0,
ben,10,Inferno,1,0,0,0,1,
ridir,10,Inferno,1,0,0,0,0,
com',10,Inferno,1,0,0,0,1,
i',10,Inferno,1,0,0,0,0,
v'intrai,10,Inferno,1,1,0,0,0,ai
tant',11,Inferno,1,0,0,0,0,
era,11,Inferno,1,0,0,0,1,
pien,11,Inferno,1,0,0,0,0,
di,11,Inferno,1,0,0,0,1,
sonno,11,Inferno,1,0,0,0,0,
a,11,Inferno,1,0,0,0,1,
quel,11,Inferno,1,0,0,0,1,
punto,11,Inferno,1,1,0,0,0,unto
che,12,Inferno,1,0,0,0,1,
la,12,Inferno,1,0,0,0,1,
verace,12,Inferno,1,0,0,0,0,
via,12,Inferno,1,0,0,0,0,
abbandonai,12,Inferno,1,1,0,0,0,ai
ma,13,Inferno,1,0,0,0,0,
poi,13,Inferno,1,0,0,0,1,
ch'i',13,Inferno,1,0,0,0,1,
fui,13,Inferno,1,0,0,0,1,
al,13,Inferno,1,0,0,0,1,
piè,13,Inferno,1,0,0,0,0,
d'un,13,Inferno,1,0,0,0,0,
colle,13,Inferno,1,0,0,0,0,
giunto,13,Inferno,1,1,0,0,0,unto
là,14,Inferno,1,0,0,0,1,
dove,14,Inferno,1,0,0,0,1,
terminava,14,Inferno,1,0,0,0,0,
quella,14,Inferno,1,0,0,0,1,
valle,14,Inferno,1,1,0,0,0,alle
che,15,Inferno,1,0,0,0,1,
m'avea,15,Inferno,1,0,0,0,0,
di,15,Inferno,1,0,0,0,1,
paura,15,Inferno,1,0,0,0,0,
il,15,Inferno,1,0,0,0,1,
cor,15,Inferno,1,0,0,0,0,
compunto,15,Inferno,1,1,0,0,0,unto
guardai,16,Inferno,1,0,0,0,0,
in,16,Inferno,1,0,0,0,1,
alto,16,Inferno,1,0,0,0,0,
e,16,Inferno,1,0,0,0,1,
vidi,16,Inferno,1,0,0,0,0,
le,16,Inferno,1,0,0,0,1,
sue,16,Inferno,1,0,0,0,1,
spalle,16,Inferno,1,1,0,0,0,alle
vestite,17,Inferno,1,0,0,0,0,
già,17,Inferno,1,0,0,0,1,
de',17,Inferno,1,0,0,0,0,
raggi,17,Inferno,1,0,0,0,0,
del,17,Inferno,1,0,0,0,1,
pianeta,17,Inferno,1,1,0,0,0,eta
che,18,Inferno,1,0,0,0,1,
mena,18,Inferno,1,0,0,0,0,
dritto,18,Inferno,1,0,0,0,0,
altrui,18,Inferno,1,0,0,0,1,
per,18,Inferno,1,0,0,0,1,
ogne,18,Inferno,1,0,0,0,0,
calle,18,Inferno,1,1,0,0,0,alle
allor,19,Inferno,1,0,0,0,0,
fu,19,Inferno,1,0,0,0,1,
la,19,Inferno,1,0,0,0,1,
paura,19,Inferno,1,0,0,0,0,
un,19,Inferno,1,0,0,0,1,
poco,19,Inferno,1,0,0,0,1,
queta,19,Inferno,1,1,0,0,0,eta
che,20,Inferno,1,0,0,0,1,
nel,20,Inferno,1,0,0,0,1,
lago,20,Inferno,1,0,0,0,0,
del,20,Inferno,1,0,0,0,1,
cor,20,Inferno,1,0,0,0,0,
m'era,20,Inferno,1,0,0,0,0,
durata,20,Inferno,1,1,0,0,0,ata
la,21,Inferno,1,0,0,0,1,
notte,21,Inferno,1,0,0,0,0,
ch'i',21,Inferno,1,0,0,0,1,
passai,21,Inferno,1,0,0,0,0,
con,21,Inferno,1,0,0,0,1,
tanta,21,Inferno,1,0,0,0,0,
pieta,21,Inferno,1,1,0,0,0,eta
e,22,Inferno,1,0,0,0,0,
come,22,Inferno,1,0,0,0,1,
quei,22,Inferno,1,0,0,0,0,
che,22,Inferno,1,0,0,0,1,
con,22,Inferno,1,0,0,0,1,
lena,22,Inferno,1,0,0,0,0,
affannata,22,Inferno,1,1,0,0,0,ata
uscito,23,Inferno,1,0,0,0,0,
fuor,23,Inferno,1,0,0,0,0,
del,23,Inferno,1,0,0,0,1,
pelago,23,Inferno,1,0,0,0,0,
a,23,Inferno,1,0,0,0,1,
la,23,Inferno,1,0,0,0,1,
riva,23,Inferno,1,1,0,0,0,iva
si,24,Inferno,1,0,0,0,1,
volge,24,Inferno,1,0,0,0,0,
a,24,Inferno,1,0,0,0,1,
l'acqua,24,Inferno,1,0,0,0,0,
perigliosa,24,Inferno,1,0,0,0,0,
e,24,Inferno,1,0,0,0,1,
guata,24,Inferno,1,1,0,0,0,ata
così,25,Inferno,1,0,0,0,1,
l'animo,25,Inferno,1,0,0,0,0,
mio,25,Inferno,1,0,0,0,1,
ch'ancor,25,Inferno,1,0,0,0,0,
fuggiva,25,Inferno,1,1,0,0,0,iva
si,26,Inferno,1,0,0,0,1,
volse,26,Inferno,1,0,0,0,0,
a,26,Inferno,1,0,0,0,1,
retro,26,Inferno,1,0,0,0,0,
a,26,Inferno,1,0,0,0,1,
rimirar,26,Inferno,1,0,0,0,0,
lo,26,Inferno,1,0,0,0,1,
passo,26,Inferno,1,1,0,0,0,asso
che,27,Inferno,1,0,0,0,1,
non,27,Inferno,1,0,0,0,1,
lasciò,27,Inferno,1,0,0,0,0,
già,27,Inferno,1,0,0,0,1,
