quotation,speaker,cantica,canto
Miserere di me,blank,Inferno,1
qual che tu sii od ombra od omo certo,blank,Inferno,1
Non omo omo già fui e li parenti miei furon lombardi mantoani per patrïa ambedui Nacqui sub Iulio ancor che fosse tardi e vissi a Roma sotto 'l buono Augusto nel tempo de li dèi falsi e bugiardi Poeta fui e cantai di quel giusto figliuol d'Anchise che venne di Troia poi che 'l superbo Ilïón fu combusto Ma tu perché ritorni a tanta noia perché non sali il dilettoso monte ch'è principio e cagion di tutta gioia,blank,Inferno,1
Or se' tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume,blank,Inferno,1
O de li altri poeti onore e lume vagliami 'l lungo studio e 'l grande amore che m'ha fatto cercar lo tuo volume Tu se' lo mio maestro e 'l mio autore tu se' solo colui da cu' io tolsi lo bello stilo che m'ha fatto onore Vedi la bestia per cu' io mi volsi aiutami da lei famoso saggio ch'ella mi fa tremar le vene e i polsi,blank,Inferno,1
A te convien tenere altro vïaggio,blank,Inferno,1
se vuo' campar d'esto loco selvaggio ché questa bestia per la qual tu gride non lascia altrui passar per la sua via ma tanto lo 'mpedisce che l'uccide e ha natura sì malvagia e ria che mai non empie la bramosa voglia e dopo 'l pasto ha più fame che pria Molti son li animali a cui s'ammoglia e più saranno ancora infin che 'l veltro verrà che la farà morir con doglia Questi non ciberà terra né peltro ma sapïenza amore e virtute e sua nazion sarà tra feltro e feltro Di quella umile Italia fia salute per cui morì la vergine Cammilla Eurialo e Turno e Niso di ferute Questi la caccerà per ogne villa fin che l'avrà rimessa ne lo 'nferno là onde 'nvidia prima dipartilla Ond' io per lo tuo me' penso e discerno che tu mi segui e io sarò tua guida e trarrotti di qui per loco etterno ove udirai le disperate strida vedrai li antichi spiriti dolenti ch'a la seconda morte ciascun grida e vederai color che son contenti nel foco perché speran di venire quando che sia a le beate genti A le quai poi se tu vorrai salire anima fia a ciò più di me degna con lei ti lascerò nel mio partire ché quello imperador che là sù regna perch' i' fu' ribellante a la sua legge non vuol che 'n sua città per me si vegna In tutte parti impera e quivi regge quivi è la sua città e l'alto seggio oh felice colui cu' ivi elegge,blank,Inferno,1
Poeta io ti richeggio per quello Dio che tu non conoscesti a ciò ch'io fugga questo male e peggio che tu mi meni là dov' or dicesti sì ch'io veggia la porta di san Pietro e color cui tu fai cotanto mesti,blank,Inferno,1
Poeta che mi guidi guarda la mia virtù s'ell' è possente prima ch'a l'alto passo tu mi fidi Tu dici che di Silvïo il parente corruttibile ancora ad immortale secolo andò e fu sensibilmente Però se l'avversario d'ogne male cortese i fu pensando l'alto effetto ch'uscir dovea di lui e 'l chi e 'l quale non pare indegno ad omo d'intelletto ch'e' fu de l'alma Roma e di suo impero ne l'empireo ciel per padre eletto la quale e 'l quale a voler dir lo vero fu stabilita per lo loco santo u' siede il successor del maggior Piero Per quest' andata onde li dai tu vanto intese cose che furon cagione di sua vittoria e del papale ammanto Andovvi poi lo Vas d'elezïone per recarne conforto a quella fede ch'è principio a la via di salvazione Ma io perché venirvi o chi 'l concede Io non Enëa io non Paulo sono me degno a ciò né io né altri 'l crede Per che se del venire io m'abbandono temo che la venuta non sia folle Se' savio intendi me' ch'i' non ragiono,blank,Inferno,2
S'i' ho ben la parola tua intesa,blank,Inferno,2
l'anima tua è da viltade offesa la qual molte fïate l'omo ingombra sì che d'onrata impresa lo rivolve come falso veder bestia quand' ombra Da questa tema a ciò che tu ti solve dirotti perch' io venni e quel ch'io 'ntesi nel primo punto che di te mi dolve Io era tra color che son sospesi e donna mi chiamò beata e bella tal che di comandare io la richiesi Lucevan li occhi suoi più che la stella e cominciommi a dir soave e piana con angelica voce in sua favella 'O anima cortese mantoana di cui la fama ancor nel mondo dura e durerà quanto 'l mondo lontana l'amico mio e non de la ventura ne la diserta piaggia è impedito sì nel cammin che vòlt' è per paura e temo che non sia già sì smarrito ch'io mi sia tardi al soccorso levata per quel ch'i' ho di lui nel cielo udito Or movi e con la tua parola ornata e con ciò c'ha mestieri al suo campare l'aiuta sì ch'i' ne sia consolata I' son Beatrice che ti faccio andare vegno del loco ove tornar disio amor mi mosse che mi fa parlare Quando sarò dinanzi al segnor mio di te mi loderò sovente a lui' Tacette allora e poi comincia' io 'O donna di virtù sola per cui l'umana spezie eccede ogne contento di quel ciel c'ha minor li cerchi sui tanto m'aggrada il tuo comandamento che l'ubidir se già fosse m'è tardi più non t'è uo' ch'aprirmi il tuo talento Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l'ampio loco ove tornar tu ardi' 'Da che tu vuo' saver cotanto a dentro dirotti brievemente' mi rispuose 'perch' i' non temo di venir qua entro Temer si dee di sole quelle cose c'hanno potenza di fare altrui male de l'altre no ché non son paurose I' son fatta da Dio sua mercé tale che la vostra miseria non mi tange né fiamma d'esto 'ncendio non m'assale Donna è gentil nel ciel che si compiange di questo 'mpedimento ov' io ti mando sì che duro giudicio là sù frange Questa chiese Lucia in suo dimando e disse Or ha bisogno il tuo fedele di te e io a te lo raccomando,blank,Inferno,2
Or ha bisogno il tuo fedele di te e io a te lo raccomando,blank,Inferno,2
Beatrice loda di Dio vera ché non soccorri quei che t'amò tanto ch'uscì per te de la volgare schiera Non odi tu la pieta del suo pianto non vedi tu la morte che 'l combatte su la fiumana ove 'l mar non ha vanto,blank,Inferno,2
Oh pietosa colei che mi soccorse e te cortese ch'ubidisti tosto a le vere parole che ti porse Tu m'hai con disiderio il cor disposto sì al venir con le parole tue ch'i' son tornato nel primo proposto Or va ch'un sol volere è d'ambedue tu duca tu segnore e tu maestro,blank,Inferno,2
Per me si va ne la città dolente per me si va ne l'etterno dolore per me si va tra la perduta gente Giustizia mosse il mio alto fattore fecemi la divina podestate la somma sapïenza e 'l primo amore Dinanzi a me non fuor cose create se non etterne e io etterno duro Lasciate ogne speranza voi ch'entrate,blank,Inferno,3
Maestro il senso lor m'è duro,blank,Inferno,3
Qui si convien lasciare ogne sospetto ogne viltà convien che qui sia morta Noi siam venuti al loco ov' i' t'ho detto che tu vedrai le genti dolorose c'hanno perduto il ben de l'intelletto,blank,Inferno,3
Maestro che è quel ch'i' odo e che gent' è che par nel duol sì vinta,blank,Inferno,3
Questo misero modo tegnon l'anime triste di coloro che visser sanza 'nfamia e sanza lodo Mischiate sono a quel cattivo coro de li angeli che non furon ribelli né fur fedeli a Dio ma per sé fuoro Caccianli i ciel per non esser men belli né lo profondo inferno li riceve ch'alcuna gloria i rei avrebber d'elli,blank,Inferno,3
Maestro che è tanto greve a lor che lamentar li fa sì forte,blank,Inferno,3
Dicerolti molto breve Questi non hanno speranza di morte e la lor cieca vita è tanto bassa che 'nvidïosi son d'ogne altra sorte Fama di loro il mondo esser non lassa misericordia e giustizia li sdegna non ragioniam di lor ma guarda e passa,blank,Inferno,3
Maestro or mi concedi ch'i' sappia quali sono e qual costume le fa di trapassar parer sì pronte com' i' discerno per lo fioco lume,blank,Inferno,3
Le cose ti fier conte quando noi fermerem li nostri passi su la trista riviera d'Acheronte,blank,Inferno,3
Guai a voi anime prave Non isperate mai veder lo cielo i' vegno per menarvi a l'altra riva ne le tenebre etterne in caldo e 'n gelo E tu che se' costì anima viva pàrtiti da cotesti che son morti,blank,Inferno,3
Per altra via per altri porti verrai a piaggia non qui per passare più lieve legno convien che ti porti,blank,Inferno,3
Caron non ti crucciare vuolsi così colà dove si puote ciò che si vuole e più non dimandare,blank,Inferno,3
Figliuol mio,blank,Inferno,3
quelli che muoion ne l'ira di Dio tutti convegnon qui d'ogne paese e pronti sono a trapassar lo rio ché la divina giustizia li sprona sì che la tema si volve in disio Quinci non passa mai anima buona e però se Caron di te si lagna ben puoi sapere omai che 'l suo dir suona,blank,Inferno,3
Or discendiam qua giù nel cieco mondo,blank,Inferno,4
Io sarò primo e tu sarai secondo,blank,Inferno,4
Come verrò se tu paventi che suoli al mio dubbiare esser conforto,blank,Inferno,4
L'angoscia de le genti che son qua giù nel viso mi dipigne quella pietà che tu per tema senti Andiam ché la via lunga ne sospigne,blank,Inferno,4
Tu non dimandi che spiriti son questi che tu vedi Or vo' che sappi innanzi che più andi ch'ei non peccaro e s'elli hanno mercedi non basta perché non ebber battesmo ch'è porta de la fede che tu credi e s' e' furon dinanzi al cristianesmo non adorar debitamente a Dio e di questi cotai son io medesmo Per tai difetti non per altro rio semo perduti e sol di tanto offesi che sanza speme vivemo in disio,blank,Inferno,4
Dimmi maestro mio dimmi segnore,blank,Inferno,4
uscicci mai alcuno o per suo merto o per altrui che poi fosse beato,blank,Inferno,4
Io era nuovo in questo stato quando ci vidi venire un possente con segno di vittoria coronato Trasseci l'ombra del primo parente d'Abèl suo figlio e quella di Noè di Moïsè legista e ubidente Abraàm patrïarca e Davìd re Israèl con lo padre e co' suoi nati e con Rachele per cui tanto fé e altri molti e feceli beati E vo' che sappi che dinanzi ad essi spiriti umani non eran salvati,blank,Inferno,4
O tu ch'onori scïenzïa e arte questi chi son c'hanno cotanta onranza che dal modo de li altri li diparte,blank,Inferno,4
L'onrata nominanza che di lor suona sù ne la tua vita grazïa acquista in ciel che sì li avanza,blank,Inferno,4
Onorate l'altissimo poeta l'ombra sua torna ch'era dipartita,blank,Inferno,4
Mira colui con quella spada in mano che vien dinanzi ai tre sì come sire quelli è Omero poeta sovrano l'altro è Orazio satiro che vene Ovidio è 'l terzo e l'ultimo Lucano Però che ciascun meco si convene nel nome che sonò la voce sola fannomi onore e di ciò fanno bene,blank,Inferno,4
O tu che vieni al doloroso ospizio,blank,Inferno,5
guarda com' entri e di cui tu ti fide non t'inganni l'ampiezza de l'intrare,blank,Inferno,5
Perché pur gride Non impedir lo suo fatale andare vuolsi così colà dove si puote ciò che si vuole e più non dimandare,blank,Inferno,5
